Date,HFEA
1962-01-02,10000
1962-01-03,10040.9
1962-01-04,9949.21
1962-01-05,9703.66
1962-01-08,9563.38
1962-01-09,9572.45
1962-01-10,9512.4
1962-01-11,9624.71
1962-01-12,9657.85
1962-01-15,9606.42
1962-01-16,9497.85
1962-01-17,9355.05
1962-01-18,9371.74
1962-01-19,9451.12
1962-01-22,9487.77
1962-01-23,9356.28
1962-01-24,9383.18
1962-01-25,9332.1
1962-01-26,9286.2
1962-01-29,9217.59
1962-01-30,9277.17
1962-01-31,9422.82
1962-02-01,9516.11
1962-02-02,9639.84
1962-02-05,9678.23
1962-02-06,9676.53
1962-02-07,9781.38
1962-02-08,9839.95
1962-02-09,9839.19
1962-02-12,9835.84
1962-02-13,9856.69
1962-02-14,9872.24
1962-02-15,9925.21
1962-02-16,9849.85
1962-02-19,9830.99
1962-02-20,9806.18
1962-02-21,9771.29
1962-02-23,9757.2
1962-02-26,9689.04
1962-02-27,9698.51
1962-02-28,9757.49
1962-03-01,9834.15
1962-03-02,9826.3
1962-03-05,9772.26
1962-03-06,9721.64
1962-03-07,9723.72
1962-03-08,9857.94
1962-03-09,9932.49
1962-03-12,9950.5
1962-03-13,10040.71
1962-03-14,10112.9
1962-03-15,10105
1962-03-16,10098.74
1962-03-19,10100.1
1962-03-20,10100.6
1962-03-21,10088.62
1962-03-22,10153.37
1962-03-23,10119.87
1962-03-26,9946.72
1962-03-27,9926.83
1962-03-28,10003.79
1962-03-29,10019.95
1962-03-30,9938.97
1962-04-02,9918.67
1962-04-03,9831.26
1962-04-04,9845.96
1962-04-05,9876.15
1962-04-06,9904.49
1962-04-09,9783
1962-04-10,9840.45
1962-04-11,9762.54
1962-04-12,9625.65
1962-04-13,9690.53
1962-04-16,9624.03
1962-04-17,9691.38
1962-04-18,9819.13
1962-04-19,9869.72
1962-04-23,9812.08
1962-04-24,9774.83
1962-04-25,9604.66
1962-04-26,9458.33
1962-04-27,9361.67
1962-04-30,9136.65
1962-05-01,9232.5
1962-05-02,9293.91
1962-05-03,9430.89
1962-05-04,9369.48
1962-05-07,9323.49
1962-05-08,9144.88
1962-05-09,8981.29
1962-05-10,8866.86
1962-05-11,8688.28
1962-05-14,8752.15
1962-05-15,8959.47
1962-05-16,8933.64
1962-05-17,8866.86
1962-05-18,8779.53
1962-05-21,8691.45
1962-05-22,8470.23
1962-05-23,8240.91
1962-05-24,8175.77
1962-05-25,7995.61
1962-05-28,7344.55
1962-05-29,7678.74
1962-05-31,7925.74
1962-06-01,7906.9
1962-06-04,7558.54
