"Date","QQQ"
"1995-01-03",10000
"1995-01-04",10032.39
"1995-01-05",10000.89
"1995-01-06",10065.24
"1995-01-09",10129.59
"1995-01-10",10257.86
"1995-01-11",10226.36
"1995-01-12",10226.81
"1995-01-13",10323.14
"1995-01-16",10387.52
"1995-01-17",10451.91
"1995-01-18",10516.3
"1995-01-19",10484.8
"1995-01-20",10261.51
"1995-01-23",10357.86
"1995-01-24",10358.33
"1995-01-25",10294.85
"1995-01-26",10167.42
"1995-01-27",10199.84
"1995-01-30",10040.42
"1995-01-31",10168.77
"1995-02-01",10169.22
"1995-02-02",10297.59
"1995-02-03",10425.97
"1995-02-06",10522.38
"1995-02-07",10522.84
"1995-02-08",10683.23
"1995-02-09",10683.71
"1995-02-10",10812.13
"1995-02-13",10748.64
"1995-02-14",10781.1
"1995-02-15",10845.57
"1995-02-16",10782.06
"1995-02-17",10654.56
"1995-02-21",10655.04
"1995-02-22",10751.5
"1995-02-23",10815.98
"1995-02-24",10720.46
"1995-02-27",10624.93
"1995-02-28",10849.42
"1995-03-01",10753.89
"1995-03-02",10786.38
"1995-03-03",10946.89
"1995-03-06",10947.38
"1995-03-07",10819.82
"1995-03-08",10948.35
"1995-03-09",10948.84
"1995-03-10",11077.38
"1995-03-13",11045.86
"1995-03-14",11174.42
"1995-03-15",11110.88
"1995-03-16",11143.39
"1995-03-17",11143.88
"1995-03-20",11208.42
"1995-03-21",11208.92
"1995-03-22",11209.42
"1995-03-23",11273.97
"1995-03-24",11434.62
"1995-03-27",11467.15
"1995-03-28",11563.76
"1995-03-29",11340.04
"1995-03-30",11244.44
"1995-03-31",11212.91
"1995-04-03",11245.44
"1995-04-04",11053.71
"1995-04-05",11150.32
"1995-04-06",11022.66
"1995-04-07",11119.27
"1995-04-10",11279.99
"1995-04-11",11376.63
"1995-04-12",11473.27
"1995-04-13",11505.83
"1995-04-17",11474.29
"1995-04-18",11378.65
"1995-04-19",11218.89
"1995-04-20",11251.44
"1995-04-21",11316.05
"1995-04-24",11444.78
"1995-04-25",11541.47
"1995-04-26",11638.16
"1995-04-27",11702.8
"1995-04-28",11799.51
"1995-05-01",11703.84
"1995-05-02",11672.29
"1995-05-03",11929.35
"1995-05-04",11929.88
"1995-05-05",11834.2
"1995-05-08",12027.15
"1995-05-09",11995.61
"1995-05-10",11899.92
"1995-05-11",12092.9
"1995-05-12",12189.67
"1995-05-15",12254.37
"1995-05-16",12351.15
"1995-05-17",12480.03
"1995-05-18",12288.09
"1995-05-19",12320.72
"1995-05-22",12481.69
"1995-05-23",12706.85
"1995-05-24",12643.24
"1995-05-25",12675.89
"1995-05-26",12516
"1995-05-30",12131.45
"1995-05-31",12292.46
"1995-06-01",12389.29
"1995-06-02",12421.94
"1995-06-05",12647.17
"1995-06-06",12487.24
"1995-06-07",12552
"1995-06-08",12648.86
"1995-06-09",12617.32
"1995-06-12",12649.99
"1995-06-13",12746.87
"1995-06-14",12779.54
"1995-06-15",12940.66
"1995-06-16",13101.79
"1995-06-19",13455.6
"1995-06-20",13681
"1995-06-21",14809.05
"1995-06-22",15102.95
"1995-06-23",15066.97
"1995-06-26",14847.68
"1995-06-27",14591.71
"1995-06-28",14702.35
"1995-06-29",14886.32
"1995-06-30",14923.65
"1995-07-03",14960.98
"1995-07-05",15071.66
"1995-07-06",15402.36
"1995-07-07",15769.77
"1995-07-10",15953.84
"1995-07-11",15661.14
"1995-07-12",16138.64
"1995-07-13",16249.4
"1995-07-14",16433.52
"1995-07-17",16654.34
"1995-07-18",16141.51
"1995-07-19",15225.1
"1995-07-20",15299.15
"1995-07-21",15226.45
"1995-07-24",15630.72
"1995-07-25",15961.64
"1995-07-26",16072.43
"1995-07-27",16293.32
"1995-07-28",15963.77
"1995-07-31",15817.69
"1995-08-01",15524.79
"1995-08-02",15305.27
"1995-08-03",15379.36
"1995-08-04",15600.27
"1995-08-07",15674.38
"1995-08-08",15748.49
"1995-08-09",16006.16
"1995-08-10",15860.02
"1995-08-11",16044.29
"1995-08-14",16302.01
"1995-08-15",16266.02
"1995-08-16",16633.92
"1995-08-17",16634.66
"1995-08-18",16598.68
"1995-08-21",16122.02
"1995-08-22",16453.26
"1995-08-23",16490.71
"1995-08-24",16234.35
"1995-08-25",16161.62
"1995-08-28",15758.29
"1995-08-29",15795.73
"1995-08-30",15943.37
"1995-08-31",16054.28
"1995-09-01",15944.78
"1995-09-05",16606.8
"1995-09-06",16570.79
"1995-09-07",16718.5
"1995-09-08",16866.22
"1995-09-11",16866.97
"1995-09-12",16904.46
"1995-09-13",16978.71
"1995-09-14",16832.47
"1995-09-15",16392.19
"1995-09-18",16466.42
"1995-09-19",16761.2
"1995-09-20",16798.7
"1995-09-21",16542.14
"1995-09-22",16506.11
"1995-09-25",17315.61
"1995-09-26",17083.43
"1995-09-27",16967.71
"1995-09-28",17550.88
"1995-09-29",16891.56
"1995-10-02",16581.67
"1995-10-03",16582.4
"1995-10-04",16155.96
"1995-10-05",16583.88
"1995-10-06",16429.26
"1995-10-09",15808.55
"1995-10-10",15925.78
"1995-10-11",16314.92
"1995-10-12",16587.56
"1995-10-13",16471.76
"1995-10-16",16433.64
"1995-10-17",17055.98
"1995-10-18",17289.85
"1995-10-19",17446.03
"1995-10-20",17135.96
"1995-10-23",17214.44
"1995-10-24",17215.2
"1995-10-25",16943.95
"1995-10-26",16905.84
"1995-10-27",17256.36
"1995-10-30",17684.65
"1995-10-31",17413.37
"1995-11-01",17491.88
"1995-11-02",17881.37
"1995-11-03",18076.52
"1995-11-06",17882.96
"1995-11-07",17300.61
"1995-11-08",17418.01
"1995-11-09",17963.1
"1995-11-10",17847.25
"1995-11-13",17653.63
"1995-11-14",17148.92
"1995-11-15",17227.45
"1995-11-16",17150.44
"1995-11-17",17034.53
"1995-11-20",16529.7
"1995-11-21",16647.12
"1995-11-22",16492.27
"1995-11-24",16804.18
"1995-11-27",16649.34
"1995-11-28",17389.18
"1995-11-29",17389.95
"1995-11-30",17196.21
"1995-12-01",17002.45
"1995-12-04",17353.37
"1995-12-05",17159.59
"1995-12-06",17160.36
"1995-12-07",17083.29
"1995-12-08",17473.19
"1995-12-11",17396.14
"1995-12-12",17046.65
"1995-12-13",17125.25
"1995-12-14",16503.28
"1995-12-15",16348.32
"1995-12-18",15920.87
"1995-12-19",16739.03
"1995-12-20",16428.35
"1995-12-21",16896.24
"1995-12-22",17052.72
"1995-12-26",17053.48
"1995-12-27",16898.49
"1995-12-28",16626.69
"1995-12-29",16705.3
"1996-01-02",17017.57
"1996-01-03",16589.96
"1996-01-04",16395.98
"1996-01-05",16396.71
"1996-01-08",16397.44
"1996-01-09",15502.35
"1996-01-10",15541.99
"1996-01-11",16126.96
"1996-01-12",16049.77
"1996-01-15",15505.11
"1996-01-16",15895.37
"1996-01-17",15818.16
"1996-01-18",16091.59
"1996-01-19",16404
"1996-01-22",16599.56
"1996-01-23",16483.39
"1996-01-24",16912.77
"1996-01-25",16601.77
"1996-01-26",16758.39
"1996-01-29",16759.14
"1996-01-30",16993.73
"1996-01-31",17228.34
"1996-02-01",17501.96
"1996-02-02",17502.73
"1996-02-05",17932.31
"1996-02-06",18011.07
"1996-02-07",17894.92
"1996-02-08",18168.62
"1996-02-09",18130.44
"1996-02-12",18170.24
"1996-02-13",17976.08
"1996-02-14",17976.88
"1996-02-15",18055.67
"1996-02-16",17978.48
"1996-02-20",17940.28
"1996-02-21",18253.08
"1996-02-22",18721.92
"1996-02-23",18722.76
"1996-02-26",18567.56
"1996-02-27",18373.35
"1996-02-28",18374.17
"1996-02-29",18140.92
"1996-03-01",17595.55
"1996-03-04",17479.29
"1996-03-05",17909.24
"1996-03-06",17636.91
"1996-03-07",17676.72
"1996-03-08",17170.22
"1996-03-11",17600.24
"1996-03-12",17405.9
"1996-03-13",17874.99
"1996-03-14",17719.67
"1996-03-15",18032.7
"1996-03-18",18384.79
"1996-03-19",18268.51
"1996-03-20",17839.93
"1996-03-21",17723.61
"1996-03-22",17763.44
"1996-03-25",17334.78
"1996-03-26",17452.68
"1996-03-27",17648.68
"1996-03-28",17649.46
"1996-03-29",17689.29
"1996-04-01",17807.23
"1996-04-02",17886.12
"1996-04-03",17965.02
"1996-04-04",17926.76
"1996-04-08",17693.22
"1996-04-09",17694.01
"1996-04-10",17616.68
"1996-04-11",17500.28
"1996-04-12",17540.12
"1996-04-15",17697.16
"1996-04-16",18166.74
"1996-04-17",18011.28
"1996-04-18",18402.78
"1996-04-19",18364.52
"1996-04-22",18717
"1996-04-23",19030.43
"1996-04-24",19304.82
"1996-04-25",19383.83
"1996-04-26",19384.69
"1996-04-29",19385.55
"1996-04-30",19386.42
"1996-05-01",19582.71
"1996-05-02",19075.44
"1996-05-03",19193.56
"1996-05-06",19272.59
"1996-05-07",19195.26
"1996-05-08",19274.3
"1996-05-09",19236.06
"1996-05-10",19549.7
"1996-05-13",20019.76
"1996-05-14",20216.16
"1996-05-15",20060.65
"1996-05-16",20178.85
"1996-05-17",20023.32
"1996-05-20",20102.43
"1996-05-21",19946.88
"1996-05-22",19986.88
"1996-05-23",20105.11
"1996-05-24",19988.66
"1996-05-28",19911.31
"1996-05-29",19677.49
"1996-05-30",19873.96
"1996-05-31",20148.7
"1996-06-03",20032.22
"1996-06-04",20150.49
"1996-06-05",20347.02
"1996-06-06",19995.77
"1996-06-07",20153.18
"1996-06-10",20075.81
"1996-06-11",20115.83
"1996-06-12",20312.41
"1996-06-13",20195.9
"1996-06-14",19844.54
"1996-06-17",19767.14
"1996-06-18",19415.73
"1996-06-19",19455.74
"1996-06-20",19378.31
"1996-06-21",19653.21
"1996-06-24",19810.68
"1996-06-25",19537.5
"1996-06-26",19264.3
"1996-06-27",19656.71
"1996-06-28",19814.21
"1996-07-01",20089.2
"1996-07-02",19894.29
"1996-07-03",19699.36
"1996-07-05",19230.27
"1996-07-08",19191.96
"1996-07-09",19310.32
"1996-07-10",19272.01
"1996-07-11",18606.96
"1996-07-12",18568.62
"1996-07-15",17746.78
"1996-07-16",17982.63
"1996-07-17",18453.56
"1996-07-18",18846.17
"1996-07-19",18533.56
"1996-07-22",18260.1
"1996-07-23",17516.41
"1996-07-24",17713.12
"1996-07-25",18144.98
"1996-07-26",18537.68
"1996-07-29",18185.78
"1996-07-30",18460.94
"1996-07-31",18657.74
"1996-08-01",19089.74
"1996-08-02",19560.97
"1996-08-05",19365.84
"1996-08-06",19719.51
"1996-08-07",20034.02
"1996-08-08",19878.09
"1996-08-09",19918.18
"1996-08-12",19958.28
"1996-08-13",19645.48
"1996-08-14",19881.62
"1996-08-15",19882.51
"1996-08-16",19726.53
"1996-08-19",19688.19
"1996-08-20",19453.74
"1996-08-21",19572.27
"1996-08-22",20004.6
"1996-08-23",19887.81
"1996-08-26",19731.79
"1996-08-27",19928.81
"1996-08-28",19929.69
"1996-08-29",19655.96
"1996-08-30",19460.66
"1996-09-03",19618.47
"1996-09-04",19619.34
"1996-09-05",19110.11
"1996-09-06",19464.12
"1996-09-09",19700.44
"1996-09-10",19701.32
"1996-09-11",19819.93
"1996-09-12",20134.79
"1996-09-13",20802.92
"1996-09-16",20803.84
"1996-09-17",21197.29
"1996-09-18",21394.51
"1996-09-19",21670.25
"1996-09-20",21867.5
"1996-09-23",21554.4
"1996-09-24",21673.14
"1996-09-25",21948.94
"1996-09-26",21910.65
"1996-09-27",21872.36
"1996-09-30",21676.99
"1996-10-01",21599.42
"1996-10-02",21993.09
"1996-10-03",21876.25
"1996-10-04",22348.52
"1996-10-07",22506.63
"1996-10-08",22154.12
"1996-10-09",22155.1
"1996-10-10",22116.81
"1996-10-11",22549.91
"1996-10-14",22708.06
"1996-10-15",22826.93
"1996-10-16",22592.21
"1996-10-17",22278.88
"1996-10-18",22279.87
"1996-10-21",21966.51
"1996-10-22",21692.41
"1996-10-23",22086.36
"1996-10-24",22048.04
"1996-10-25",21931.11
"1996-10-28",21892.79
"1996-10-29",21579.32
"1996-10-30",21737.51
"1996-10-31",22210.17
"1996-11-01",22329.09
"1996-11-04",22369.39
"1996-11-05",22763.52
"1996-11-06",23236.32
"1996-11-07",23512.57
"1996-11-08",23592.25
"1996-11-11",23789.9
"1996-11-12",23437.06
"1996-11-13",23595.4
"1996-11-14",23911.05
"1996-11-15",23597.49
"1996-11-18",23441.23
"1996-11-19",23796.25
"1996-11-20",23875.97
"1996-11-21",23641.02
"1996-11-22",24192.78
"1996-11-25",24272.53
"1996-11-26",24391.63
"1996-11-27",24589.42
"1996-11-29",24629.86
"1996-12-02",24945.71
"1996-12-03",24710.74
"1996-12-04",24783.3
"1996-12-05",24784.4
"1996-12-06",24547.57
"1996-12-09",25421.11
"1996-12-10",25184.29
"1996-12-11",25463.03
"1996-12-12",25067.54
"1996-12-13",24592.69
"1996-12-16",23879.8
"1996-12-17",24237.87
"1996-12-18",24873.66
"1996-12-19",25073.12
"1996-12-20",24796.52
"1996-12-23",24480.23
"1996-12-24",24838.4
"1996-12-26",25077.57
"1996-12-27",24840.61
"1996-12-30",24524.26
"1996-12-31",24366.62
"1997-01-02",24208.96
"1997-01-03",25241.9
"1997-01-06",25362.08
"1997-01-07",25720.42
"1997-01-08",25364.34
"1997-01-09",25444.85
"1997-01-10",25723.85
"1997-01-13",25685.3
"1997-01-14",26202.53
"1997-01-15",25687.58
"1997-01-16",26006.34
"1997-01-17",26285.43
"1997-01-20",26802.78
"1997-01-21",27201.05
"1997-01-22",27559.64
"1997-01-23",27163.75
"1997-01-24",26728.12
"1997-01-27",26491.02
"1997-01-28",26531.91
"1997-01-29",26572.81
"1997-01-30",27169.79
"1997-01-31",27488.77
"1997-02-03",27410.55
"1997-02-04",27332.32
"1997-02-05",26459.53
"1997-02-06",26420.98
"1997-02-07",26819.46
"1997-02-10",25946.54
"1997-02-11",25987.43
"1997-02-12",26823.04
"1997-02-13",27022.92
"1997-02-14",26785.68
"1997-02-18",26707.39
"1997-02-19",26748.32
"1997-02-20",26193.08
"1997-02-21",25757.03
"1997-02-24",26235.16
"1997-02-25",26236.32
"1997-02-26",26237.49
"1997-02-27",25244.81
"1997-02-28",25325.45
"1997-03-03",25485.6
"1997-03-04",25645.77
"1997-03-05",26004.76
"1997-03-06",25369.71
"1997-03-07",25052.72
"1997-03-10",25491.27
"1997-03-11",25293.56
"1997-03-12",24976.53
"1997-03-13",25057.18
"1997-03-14",25018.52
"1997-03-17",24820.76
"1997-03-18",24662.75
"1997-03-19",24186.5
"1997-03-20",24505.82
"1997-03-21",24188.65
"1997-03-24",23911.24
"1997-03-25",24031.66
"1997-03-26",24908.05
"1997-03-27",24431.69
"1997-03-31",23796.12
"1997-04-01",23797.18
"1997-04-02",23400.29
"1997-04-03",24038.07
"1997-04-04",24556.52
"1997-04-07",24876.01
"1997-04-08",25155.72
"1997-04-09",24758.81
"1997-04-10",24322.05
"1997-04-11",23606.61
"1997-04-14",24125.17
"1997-04-15",23847.57
"1997-04-16",23848.63
"1997-04-17",24168.2
"1997-04-18",24447.99
"1997-04-21",24090.71
"1997-04-22",24569.62
"1997-04-23",25207.85
"1997-04-24",25169.14
"1997-04-25",24612.72
"1997-04-28",24932.42
"1997-04-29",25769.92
"1997-04-30",26328.69
"1997-05-01",26529.02
"1997-05-02",27406.53
"1997-05-05",28084.94
"1997-05-06",27528.48
"1997-05-07",27330.51
"1997-05-08",27650.44
"1997-05-09",27651.67
"1997-05-12",27812.28
"1997-05-13",27415.06
"1997-05-14",27416.27
"1997-05-15",28094.93
"1997-05-16",27578.12
"1997-05-19",27539.49
"1997-05-20",28417.51
"1997-05-21",28697.77
"1997-05-22",28539.61
"1997-05-23",28939.48
"1997-05-27",29738
"1997-05-28",29699.46
"1997-05-29",29341.99
"1997-05-30",28944.63
"1997-06-02",28945.91
"1997-06-03",28030.18
"1997-06-04",27792.19
"1997-06-05",28072.55
"1997-06-06",28512.43
"1997-06-09",28832.71
"1997-06-10",28395.32
"1997-06-11",28635.87
"1997-06-12",28677.03
"1997-06-13",29117.03
"1997-06-16",29437.42
"1997-06-17",29877.49
"1997-06-18",29320.36
"1997-06-19",29600.91
"1997-06-20",29602.22
"1997-06-23",29244.48
"1997-06-24",29804.34
"1997-06-25",29566.27
"1997-06-26",29208.48
"1997-06-27",29050.17
"1997-06-30",28891.85
"1997-07-01",28733.51
"1997-07-02",29453.12
"1997-07-03",29773.71
"1997-07-07",29934.67
"1997-07-08",30375.05
"1997-07-09",30496.14
"1997-07-10",30497.5
"1997-07-11",30658.52
"1997-07-14",31498.21
"1997-07-15",32018.59
"1997-07-16",33457.25
"1997-07-17",33219.19
"1997-07-18",32462.06
"1997-07-21",32064.21
"1997-07-22",33103.83
"1997-07-23",33105.3
"1997-07-24",32986.97
"1997-07-25",32908.56
"1997-07-28",32590.53
"1997-07-29",32991.37
"1997-07-30",33392.25
"1997-07-31",33593.44
"1997-08-01",33634.88
"1997-08-04",34115.73
"1997-08-05",34476.78
"1997-08-06",34638.12
"1997-08-07",34479.85
"1997-08-08",33842.13
"1997-08-11",33404.12
"1997-08-12",33085.95
"1997-08-13",33367.13
"1997-08-14",33488.5
"1997-08-15",32650.77
"1997-08-18",33091.83
"1997-08-19",34092.45
"1997-08-20",34813.39
"1997-08-21",33975.58
"1997-08-22",33737.26
"1997-08-25",33618.84
"1997-08-26",33180.61
"1997-08-27",33102.13
"1997-08-28",32463.95
"1997-08-29",32585.33
"1997-09-02",33466.38
"1997-09-03",33387.9
"1997-09-04",33549.33
"1997-09-05",33670.78
"1997-09-08",33912.21
"1997-09-09",34193.66
"1997-09-10",33395.32
"1997-09-11",33476.8
"1997-09-12",33518.28
"1997-09-15",32679.81
"1997-09-16",33841.26
"1997-09-17",33562.75
"1997-09-18",33564.24
"1997-09-19",33845.77
"1997-09-22",34007.3
"1997-09-23",34368.89
"1997-09-24",33770.26
"1997-09-25",33451.67
"1997-09-26",33493.17
"1997-09-29",33854.8
"1997-09-30",33176.01
"1997-10-01",33337.56
"1997-10-02",33659.21
"1997-10-03",34020.91
"1997-10-06",34062.45
"1997-10-07",34504.25
"1997-10-08",34665.9
"1997-10-09",34747.5
"1997-10-10",34428.79
"1997-10-13",34510.38
"1997-10-14",34271.71
"1997-10-15",33872.86
"1997-10-16",33273.78
"1997-10-17",32514.49
"1997-10-20",32876.32
"1997-10-21",33558.53
"1997-10-22",33199.61
"1997-10-23",32480.22
"1997-10-24",31961.02
"1997-10-27",29599.41
"1997-10-28",31723.55
"1997-10-29",31204.25
"1997-10-30",30284.33
"1997-10-31",30926.61
"1997-11-03",31889.43
"1997-11-04",31770.67
"1997-11-05",31732.01
"1997-11-06",31332.77
"1997-11-07",31173.89
"1997-11-10",30614.31
"1997-11-11",30615.67
"1997-11-12",29655.28
"1997-11-13",30458.09
"1997-11-14",31140.74
"1997-11-17",31823.46
"1997-11-18",31424.07
"1997-11-19",31505.63
"1997-11-20",32228.53
"1997-11-21",32069.63
"1997-11-24",31229.22
"1997-11-25",31511.23
"1997-11-26",31673
"1997-11-28",31874.87
"1997-12-01",32798.45
"1997-12-02",31957.89
"1997-12-03",32240
"1997-12-04",31960.73
"1997-12-05",32438.54
"1997-12-08",32801.31
"1997-12-09",31839.2
"1997-12-10",31318.66
"1997-12-11",30356.4
"1997-12-12",29634.98
"1997-12-15",29796.92
"1997-12-16",30199.82
"1997-12-17",29759.41
"1997-12-18",29278.8
"1997-12-19",29360.42
"1997-12-22",29522.39
"1997-12-23",28680.2
"1997-12-24",28360.13
"1997-12-26",28843.43
"1997-12-29",29607.98
"1997-12-30",30171.73
"1997-12-31",29932.02
"1998-01-02",30495.83
"1998-01-05",30778.44
"1998-01-06",30458.36
"1998-01-07",29977.52
"1998-01-08",30139.59
"1998-01-09",28975.53
"1998-01-12",29418.89
"1998-01-13",30143.61
"1998-01-14",30185.14
"1998-01-15",30146.29
"1998-01-16",30469.19
"1998-01-20",31113.7
"1998-01-21",31115.08
"1998-01-22",30955.66
"1998-01-23",31077.64
"1998-01-26",30837.8
"1998-01-27",31442.26
"1998-01-28",32288.01
"1998-01-29",32450.28
"1998-01-30",32532.15
"1998-02-02",33458.49
"1998-02-03",33781.69
"1998-02-04",34145.14
"1998-02-05",33865.13
"1998-02-06",34469.93
"1998-02-09",34069.25
"1998-02-10",34593.67
"1998-02-11",34595.21
"1998-02-12",34797.88
"1998-02-13",34517.82
"1998-02-17",34277.97
"1998-02-18",34681.82
"1998-02-19",35125.94
"1998-02-20",35248.21
"1998-02-23",36054.53
"1998-02-24",35653.74
"1998-02-25",36540.63
"1998-02-26",36743.47
"1998-02-27",36342.65
"1998-03-02",35861.31
"1998-03-03",35822.65
"1998-03-04",35904.75
"1998-03-05",34256.01
"1998-03-06",35384.64
"1998-03-09",34259.06
"1998-03-10",34904.7
"1998-03-11",35067.29
"1998-03-12",35350.67
"1998-03-13",35513.29
"1998-03-16",35877.25
"1998-03-17",35476.19
"1998-03-18",35759.64
"1998-03-19",36043.12
"1998-03-20",35521.19
"1998-03-23",35844.95
"1998-03-24",36410.4
"1998-03-25",36935.62
"1998-03-26",37058.1
"1998-03-27",36898.62
"1998-03-30",36739.13
"1998-03-31",37183.89
"1998-04-01",37386.97
"1998-04-02",37469.21
"1998-04-03",37591.74
"1998-04-06",36707.01
"1998-04-07",35983.36
"1998-04-08",36267.03
"1998-04-09",36429.82
"1998-04-13",36632.94
"1998-04-14",36916.67
"1998-04-15",37482.54
"1998-04-16",37403.59
"1998-04-17",37485.87
"1998-04-20",38172.76
"1998-04-21",38698.47
"1998-04-22",39345.17
"1998-04-23",38339.1
"1998-04-24",38098.92
"1998-04-27",37173.34
"1998-04-28",37255.62
"1998-04-29",37781.44
"1998-04-30",38025.05
"1998-05-01",38107.39
"1998-05-04",38230.06
"1998-05-05",37989.79
"1998-05-06",37830.16
"1998-05-07",37226.89
"1998-05-08",38196.52
"1998-05-11",37714.21
"1998-05-12",38280.59
"1998-05-13",38483.98
"1998-05-14",38606.71
"1998-05-15",38083.99
"1998-05-18",37883.96
"1998-05-19",38289.1
"1998-05-20",37725.94
"1998-05-21",37283.78
"1998-05-22",37002.99
"1998-05-26",36601.11
"1998-05-27",36885.22
"1998-05-28",37048.28
"1998-05-29",36323.49
"1998-06-01",35517.91
"1998-06-02",36205.63
"1998-06-03",35440.35
"1998-06-04",36451.04
"1998-06-05",36815.96
"1998-06-08",36777.23
"1998-06-09",37303.68
"1998-06-10",36578.64
"1998-06-11",36136.15
"1998-06-12",36218.51
"1998-06-15",35816.35
"1998-06-16",36988.94
"1998-06-17",37434.77
"1998-06-18",37517.2
"1998-06-19",37922.71
"1998-06-22",38691.74
"1998-06-23",39864.71
"1998-06-24",40755.06
"1998-06-25",40110.6
"1998-06-26",40435.53
"1998-06-29",41002.86
"1998-06-30",40923.89
"1998-07-01",41491.29
"1998-07-02",40765.93
"1998-07-06",41090.96
"1998-07-07",41213.99
"1998-07-08",42185.57
"1998-07-09",42349.07
"1998-07-10",42593.41
"1998-07-13",43524.76
"1998-07-14",43486.28
"1998-07-15",44458.17
"1998-07-16",44540.98
"1998-07-17",44906.72
"1998-07-20",44949.14
"1998-07-21",43900.17
"1998-07-22",43861.7
"1998-07-23",43135.99
"1998-07-24",43218.76
"1998-07-27",43786.69
"1998-07-28",42737.43
"1998-07-29",42335
"1998-07-30",43671.22
"1998-07-31",42257.89
"1998-08-03",42017.14
"1998-08-04",40441.85
"1998-08-05",40888.51
"1998-08-06",42022.75
"1998-08-07",41903.28
"1998-08-10",41864.69
"1998-08-11",40895.78
"1998-08-12",41625.71
"1998-08-13",41142.13
"1998-08-14",40860.78
"1998-08-17",42076.28
"1998-08-18",43089.6
"1998-08-19",43010.6
"1998-08-20",43052.97
"1998-08-21",42326.54
"1998-08-24",42207.03
"1998-08-25",42775.44
"1998-08-26",42332.19
"1998-08-27",40431.95
"1998-08-28",39017.21
"1998-08-31",35133.42
"1998-09-01",37482.6
"1998-09-02",37686.66
"1998-09-03",37324.02
"1998-09-04",37163.75
"1998-09-08",39675.37
"1998-09-09",38948.4
"1998-09-10",38099.91
"1998-09-11",39802.13
"1998-09-14",40370.76
"1998-09-15",40777.48
"1998-09-16",41022.26
"1998-09-17",39809.21
"1998-09-18",40053.96
"1998-09-21",40946.73
"1998-09-22",41191.56
"1998-09-23",43016.02
"1998-09-24",41843.3
"1998-09-25",42898.33
"1998-09-28",42697.69
"1998-09-29",42740.1
"1998-09-30",41567.15
"1998-10-01",39340.74
"1998-10-02",39383.01
"1998-10-05",37237.33
"1998-10-06",36550.15
"1998-10-07",35498.23
"1998-10-08",34851.44
"1998-10-09",37041.33
"1998-10-12",38380.36
"1998-10-13",37247.27
"1998-10-14",38140.59
"1998-10-15",40128.35
"1998-10-16",39927.46
"1998-10-19",40456.2
"1998-10-20",39566.18
"1998-10-21",41148.96
"1998-10-22",41839.99
"1998-10-23",41355.33
"1998-10-26",42249.15
"1998-10-27",41764.47
"1998-10-28",42617.84
"1998-10-29",43106.33
"1998-10-30",43229.9
"1998-11-02",43759.01
"1998-11-03",43193.19
"1998-11-04",44209.03
"1998-11-05",44535.47
"1998-11-06",45790.2
"1998-11-09",46083.09
"1998-11-10",46292.91
"1998-11-11",46502.75
"1998-11-12",46047.68
"1998-11-13",45966.61
"1998-11-16",46301.14
"1998-11-17",47051.33
"1998-11-18",47552.2
"1998-11-19",48260.95
"1998-11-20",48512.5
"1998-11-23",49928.05
"1998-11-24",49639.26
"1998-11-25",50181.93
"1998-11-27",51140.4
"1998-11-30",48897.49
"1998-12-01",51311.27
"1998-12-02",50897.74
"1998-12-03",49444.59
"1998-12-04",51234.95
"1998-12-07",52734.35
"1998-12-08",52445.57
"1998-12-09",52988.58
"1998-12-10",51992.72
"1998-12-11",52702.13
"1998-12-14",50791.06
"1998-12-15",52332.44
"1998-12-16",52126.76
"1998-12-17",53169.12
"1998-12-18",54586
"1998-12-21",56252.63
"1998-12-22",55631.03
"1998-12-23",57339.46
"1998-12-24",56884.29
"1998-12-28",57386.17
"1998-12-29",57347.11
"1998-12-30",56850.26
"1998-12-31",57393.82
"1999-01-04",58020.67
"1999-01-05",59604.88
"1999-01-06",61522.21
"1999-01-07",61649.82
"1999-01-08",61902.32
"1999-01-11",62779.28
"1999-01-12",60825.42
"1999-01-13",61119.55
"1999-01-14",59789.96
"1999-01-15",62207.54
"1999-01-19",63792.56
"1999-01-20",63837.03
"1999-01-21",61591.21
"1999-01-22",61677.23
"1999-01-25",62721.11
"1999-01-26",64847.92
"1999-01-27",63851.22
"1999-01-28",66228.18
"1999-01-29",66980.87
"1999-02-01",67108.81
"1999-02-02",65487.19
"1999-02-03",66698.2
"1999-02-04",63784.94
"1999-02-05",62579.57
"1999-02-08",64040.59
"1999-02-09",60918.49
"1999-02-10",61212.87
"1999-02-11",64382.5
"1999-02-12",61676.71
"1999-02-16",61512.76
"1999-02-17",59515.07
"1999-02-18",59934.49
