Date,SSO
2006-06-21,10000
2006-06-22,9893.69
2006-06-23,9892.31
2006-06-26,9949.65
2006-06-27,9773.43
2006-06-28,9860.14
2006-06-29,10278.32
2006-06-30,10272.73
2006-07-03,10412.59
2006-07-05,10274.13
2006-07-06,10306.29
2006-07-07,10187.41
2006-07-10,10205.59
2006-07-11,10292.78
2006-07-12,10089.51
2006-07-13,9784.62
2006-07-14,9696.5
2006-07-17,9686.71
2006-07-18,9701.82
2006-07-19,10034.97
2006-07-20,9917.48
2006-07-21,9760.83
2006-07-24,10069.93
2006-07-25,10197.2
2006-07-26,10216.78
2006-07-27,10118.88
2006-07-28,10349.64
2006-07-31,10321.68
2006-08-01,10229.37
2006-08-02,10307.69
2006-08-03,10359.44
2006-08-04,10356.64
2006-08-07,10299.29
2006-08-08,10215.38
2006-08-09,10137.06
2006-08-10,10226.57
2006-08-11,10152.45
2006-08-14,10186.74
2006-08-15,10437.76
2006-08-16,10612.59
2006-08-17,10655.94
2006-08-18,10699.3
2006-08-21,10648.95
2006-08-22,10657.34
2006-08-23,10570.63
2006-08-24,10609.79
2006-08-25,10629.37
2006-08-28,10720.27
2006-08-29,10770.63
2006-08-30,10769.23
2006-08-31,10760.84
2006-09-01,10869.41
2006-09-05,10889.51
2006-09-06,10699.02
2006-09-07,10591.61
2006-09-08,10667.13
2006-09-11,10664.34
2006-09-12,10872.74
2006-09-13,10979.02
2006-09-14,10925.87
2006-09-15,11019.54
2006-09-18,11018.18
2006-09-19,10946.85
2006-09-20,11079.72
2006-09-21,10959.44
2006-09-22,10899.3
2006-09-25,11102.1
2006-09-26,11248.03
2006-09-27,11275.52
2006-09-28,11311.89
2006-09-29,11265.73
2006-10-02,11172.04
2006-10-03,11212.59
2006-10-04,11488.11
2006-10-05,11530.07
2006-10-06,11496.5
2006-10-09,11507.69
2006-10-10,11542.66
2006-10-11,11496.5
2006-10-12,11702.1
2006-10-13,11756.64
2006-10-16,11793.01
2006-10-17,11734.27
2006-10-18,11731.47
2006-10-19,11752.45
2006-10-20,11769.23
2006-10-23,11878.32
2006-10-24,11931.47
2006-10-25,11998.6
2006-10-26,12102.1
2006-10-27,11942.66
2006-10-30,11927.27
2006-10-31,11888.11
2006-11-01,11746.85
2006-11-02,11737.06
2006-11-03,11664.34
2006-11-06,11948.25
2006-11-07,12011.19
2006-11-08,12089.51
2006-11-09,11951.05
2006-11-10,11972.03
2006-11-13,12020.98
2006-11-14,12191.61
2006-11-15,12278.32
2006-11-16,12331.47
2006-11-17,12328.67
2006-11-20,12321.68
2006-11-21,12359.44
2006-11-22,12412.59
2006-11-24,12313.29
2006-11-27,11986.01
2006-11-28,12055.94
2006-11-29,12276.92
2006-11-30,12286.71
2006-12-01,12230.77
2006-12-04,12426.57
2006-12-05,12527.27
2006-12-06,12490.91
2006-12-07,12400
2006-12-08,12432.17
2006-12-11,12497.9
2006-12-12,12481.12
2006-12-13,12531.47
2006-12-14,12699.3
2006-12-15,12752.45
2006-12-18,12671.33
2006-12-19,12739.86
2006-12-20,12693.3
2006-12-21,12617.39
2006-12-22,12437.85
2006-12-26,12602.8
2006-12-27,12779.42
2006-12-28,12728.33
2006-12-29,12596.96
2007-01-03,12509.38
2007-01-04,12579.44
2007-01-05,12367.79
2007-01-08,12465.59
2007-01-09,12453.91
2007-01-10,12509.38
2007-01-11,12659.72
2007-01-12,12808.61
2007-01-16,12789.56
2007-01-17,12783.8
2007-01-18,12677.24
2007-01-19,12753.14
2007-01-22,12615.93
2007-01-23,12704.97
2007-01-24,12903.49
2007-01-25,12643.67
2007-01-26,12611.55
2007-01-29,12573.6
2007-01-30,12706.43
2007-01-31,12864.08
2007-02-01,13014.42
2007-02-02,13058.36
2007-02-05,13040.7
2007-02-06,13040.7
2007-02-07,13085.95
2007-02-08,13059.67
2007-02-09,12904.95
2007-02-12,12796.93
2007-02-13,12991.07
2007-02-14,13188.12
2007-02-15,13188.12
2007-02-16,13185.21
2007-02-20,13247.97
2007-02-21,13223.16
2007-02-22,13199.8
2007-02-23,13128.28
2007-02-26,13094.71
2007-02-27,12043.74
2007-02-28,12286.03
2007-03-01,12243.72
2007-03-02,11896.32
2007-03-05,11661.31
2007-03-06,12064.18
2007-03-07,12011.63
2007-03-08,12159.06
2007-03-09,12226.2
2007-03-12,12275.83
2007-03-13,11775.16
2007-03-14,11953.24
2007-03-15,12008.7
2007-03-16,11906.53
2007-03-19,12198.47
2007-03-20,12340.06
2007-03-21,12747.3
2007-03-22,12741.47
2007-03-23,12744.38
2007-03-26,12734.17
2007-03-27,12643.66
2007-03-28,12457.74
2007-03-29,12479.7
2007-03-30,12508.98
2007-04-02,12538.26
2007-04-03,12785.65
2007-04-04,12801.76
2007-04-05,12883.73
2007-04-09,12920.33
2007-04-10,12933.51
2007-04-11,12788.58
2007-04-12,12955.47
2007-04-13,13049.15
2007-04-16,13295.09
2007-04-17,13358.04
2007-04-18,13366.82
2007-04-19,13375.6
2007-04-20,13602.51
2007-04-23,13535.17
2007-04-24,13541.02
2007-04-25,13775.25
2007-04-26,13819.16
2007-04-27,13772.32
2007-04-30,13580.55
2007-05-01,13614.22
2007-05-02,13779.64
2007-05-03,13904.07
2007-05-04,14002.15
2007-05-07,14010.93
2007-05-08,13994.83
2007-05-09,14087.06
2007-05-10,13767.93
2007-05-11,13983.12
2007-05-14,13931.88
2007-05-15,13893.82
2007-05-16,14116.33
2007-05-17,14081.2
2007-05-18,14293.47
2007-05-21,14272.97
2007-05-22,14297.86
2007-05-23,14281.75
2007-05-24,13980.19
2007-05-25,14089.98
2007-05-29,14198.31
2007-05-30,14432.53
2007-05-31,14417.9
2007-06-01,14530.62
2007-06-04,14532.08
2007-06-05,14416.43
2007-06-06,14095.84
2007-06-07,13618.61
2007-06-08,13921.64
2007-06-11,14002.15
