Date,UPRO
2009-06-25,10000
2009-06-26,9948.16
2009-06-29,10230.41
2009-06-30,9986.18
2009-07-01,10093.32
2009-07-02,9260.37
2009-07-06,9285.71
2009-07-07,8707.37
2009-07-08,8717.74
2009-07-09,8771.89
2009-07-10,8687.79
2009-07-13,9322.58
2009-07-14,9513.82
2009-07-15,10327.19
2009-07-16,10603.69
2009-07-17,10585.25
2009-07-20,10906.68
2009-07-21,11087.56
2009-07-22,11066.82
2009-07-23,11801.84
2009-07-24,11956.22
2009-07-27,12057.6
2009-07-28,11955.07
2009-07-29,11796.08
2009-07-30,12164.75
2009-07-31,12200.46
2009-08-03,12814.52
2009-08-04,12937.79
2009-08-05,12845.62
2009-08-06,12604.84
2009-08-07,13104.84
2009-08-10,13013.82
2009-08-11,12518.43
2009-08-12,12953.92
2009-08-13,13246.47
2009-08-14,12929.72
2009-08-17,11968.89
2009-08-18,12297.24
2009-08-19,12579.49
2009-08-20,12990.78
2009-08-21,13716.59
2009-08-24,13714.29
2009-08-25,13805.3
2009-08-26,13801.84
2009-08-27,13929.72
2009-08-28,13880.18
2009-08-31,13539.17
2009-09-01,12614.06
2009-09-02,12494.24
2009-09-03,12770.74
2009-09-04,13329.49
2009-09-08,13679.72
2009-09-09,14001.15
2009-09-10,14427.42
2009-09-11,14406.68
2009-09-14,14649.77
2009-09-15,14816.82
2009-09-16,15474.65
2009-09-17,15400.92
2009-09-18,15445.85
2009-09-21,15315.67
2009-09-22,15603.69
2009-09-23,15185.48
2009-09-24,14695.08
2009-09-25,14469.15
2009-09-28,15222.99
2009-09-29,15136.54
2009-09-30,14937.13
2009-10-01,13807.54
2009-10-02,13654.24
2009-10-05,14224.8
2009-10-06,14850.68
2009-10-07,14964.33
2009-10-08,15326.73
2009-10-09,15572.24
2009-10-12,15772.8
2009-10-13,15688.66
2009-10-14,16486.29
2009-10-15,16634.98
2009-10-16,16278.81
2009-10-19,16681.08
2009-10-20,16433.26
2009-10-21,15983.73
2009-10-22,16440.18
2009-10-23,15893.83
2009-10-26,15333.64
2009-10-27,15146.91
2009-10-28,14297.41
