Start Date,End Date,^SPY CAGR,^SPY Volatility,^SPY Sharpe,^SPY Sortino,^SPY Maximum Drawdown,^SPY_LRS CAGR,^SPY_LRS Volatility,^SPY_LRS Sharpe,^SPY_LRS Sortino,^SPY_LRS Maximum Drawdown,^SSO_LRS CAGR,^SSO_LRS Volatility,^SSO_LRS Sharpe,^SSO_LRS Sortino,^SSO_LRS Maximum Drawdown,^UPRO_LRS CAGR,^UPRO_LRS Volatility,^UPRO_LRS Sharpe,^UPRO_LRS Sortino,^UPRO_LRS Maximum Drawdown,^SPY_net CAGR,^SPY_net Volatility,^SPY_net Sharpe,^SPY_net Sortino,^SPY_net Maximum Drawdown,^SPY_LRS_net CAGR,^SPY_LRS_net Volatility,^SPY_LRS_net Sharpe,^SPY_LRS_net Sortino,^SPY_LRS_net Maximum Drawdown,^SSO_LRS_net CAGR,^SSO_LRS_net Volatility,^SSO_LRS_net Sharpe,^SSO_LRS_net Sortino,^SSO_LRS_net Maximum Drawdown,^UPRO_LRS_net CAGR,^UPRO_LRS_net Volatility,^UPRO_LRS_net Sharpe,^UPRO_LRS_net Sortino,^UPRO_LRS_net Maximum Drawdown
01/07/1954,31/07/1969,0.11571352,0.105685322,1.097954644,0.091904377,-0.266519345,0.129863776,0.079933024,1.580816511,0.11655596,-0.103580176,0.214875128,0.159898315,1.308330002,0.096565076,-0.204122483,0.306462641,0.239874316,1.245229037,0.091942365,-0.299184956,0.106193975,0.091096481,1.706937667,0.143431997,-0.103580176,0.110575982,0.091017223,1.683050869,0.141305364,-0.103580176,0.183875485,0.182096131,1.427414356,0.119985614,-0.220122555,0.264211863,0.273180565,1.373885772,0.115530156,-0.322482567
02/08/1954,29/08/1969,0.114281704,0.105780381,1.084252935,0.090830561,-0.266519345,0.125495435,0.079690465,1.535526314,0.112688447,-0.103580176,0.205472054,0.159409264,1.262020072,0.092711992,-0.204122483,0.291300346,0.239138595,1.198462713,0.088075932,-0.299184956,0.104671413,0.091154814,1.658532461,0.139225682,-0.103580176,0.106681587,0.09107459,1.634451026,0.137087085,-0.103580176,0.175300844,0.182206654,1.378082429,0.115721802,-0.220122555,0.250193434,0.27334425,1.324289021,0.111246946,-0.322482567
01/09/1954,30/09/1969,0.114624017,0.105703296,1.088545949,0.091306904,-0.266519345,0.127723332,0.079193594,1.570803226,0.11476958,-0.103580176,0.210368236,0.158417342,1.295494577,0.094754352,-0.204122483,0.29927787,0.237652107,1.231301331,0.090094461,-0.299184956,0.105067312,0.090916092,1.702331458,0.142790673,-0.103580176,0.108650948,0.090835403,1.678036596,0.140631507,-0.103580176,0.179734347,0.181731785,1.420180037,0.119166573,-0.220122555,0.257524712,0.272633739,1.365974252,0.114663816,-0.322482567
01/10/1954,31/10/1969,0.112334446,0.105709539,1.068506359,0.089712396,-0.266519345,0.121479096,0.078981422,1.503365458,0.109523765,-0.103580176,0.196902592,0.157990805,1.226695405,0.089461428,-0.205423125,0.277599227,0.237010817,1.161956645,0.084772887,-0.310084947,0.102695592,0.090959318,1.627362984,0.136537037,-0.103580176,0.103086351,0.090882457,1.601760803,0.13427891,-0.103580176,0.16750887,0.181815331,1.343618375,0.112770149,-0.220122555,0.237609537,0.272754799,1.289242892,0.108247594,-0.32338213
01/11/1954,28/11/1969,0.110802008,0.105737607,1.055086167,0.08861291,-0.266519345,0.12187976,0.078845023,1.510378269,0.109823014,-0.103580176,0.197516477,0.15772063,1.231788713,0.089663215,-0.219325963,0.278449845,0.236607075,1.166356057,0.084934048,-0.32951573,0.101244204,0.090968731,1.63712922,0.137343604,-0.103580176,0.103331736,0.090889067,1.610753988,0.135016112,-0.106570326,0.167843006,0.181832962,1.350662282,0.1133521,-0.234777213,0.238075301,0.272783513,1.295634238,0.108776678,-0.344024947
01/12/1954,31/12/1969,0.104383198,0.105684658,1.000269857,0.084068181,-0.266519345,0.11672815,0.078315371,1.460808672,0.105362852,-0.103580176,0.186617605,0.156657149,1.180230675,0.08521781,-0.219325963,0.261118294,0.235009504,1.114111928,0.080475825,-0.32951573,0.094921733,0.09070805,1.582567672,0.132207256,-0.103580176,0.098793663,0.090626987,1.555893852,0.129866329,-0.106570326,0.158058558,0.181304049,1.294181465,0.108152499,-0.234777213,0.222316619,0.2719878,1.238703616,0.103557211,-0.344024947
03/01/1955,30/01/1970,0.092917583,0.105670356,0.900548883,0.075621661,-0.266519345,0.110906786,0.077798594,1.401856647,0.100286841,-0.103580176,0.174348607,0.155619742,1.119401207,0.080167005,-0.219325963,0.241686705,0.233451108,1.052631727,0.07541548,-0.32951573,0.08373184,0.090459025,1.516607726,0.126151891,-0.103580176,0.093703237,0.090376378,1.489604776,0.123796125,-0.106570326,0.147168217,0.180798171,1.226406601,0.10204562,-0.234777213,0.204884498,0.271226699,1.170520545,0.097434313,-0.344024947
01/02/1955,27/02/1970,0.09666092,0.105371487,0.935825092,0.078944663,-0.266519345,0.110885494,0.076931207,1.417014909,0.101640304,-0.103580176,0.174474104,0.153885638,1.131317918,0.081225314,-0.219325963,0.242092237,0.230850559,1.063580975,0.076388655,-0.32951573,0.087310213,0.089762833,1.536086093,0.128558587,-0.103580176,0.093678955,0.089678989,1.508694155,0.126150172,-0.106570326,0.147268621,0.179405122,1.242671357,0.10402072,-0.234777213,0.205230607,0.269138075,1.186090899,0.09931909,-0.344024947
01/03/1955,31/03/1970,0.096481444,0.105429737,0.933971462,0.078885848,-0.266519345,0.110523379,0.076613551,1.4185497,0.101243434,-0.103580176,0.173778654,0.153250242,1.131679525,0.080847549,-0.219325963,0.241028271,0.229897597,1.06346011,0.076001034,-0.32951573,0.087127738,0.089723146,1.540679854,0.12877561,-0.103580176,0.093361481,0.089638723,1.513090159,0.126352684,-0.106570326,0.146653921,0.179325283,1.246197541,0.104181549,-0.234777213,0.204283841,0.269018694,1.189341076,0.099463799,-0.344024947
01/04/1955,30/04/1970,0.089332436,0.105163184,0.873388743,0.074034073,-0.266519345,0.11019309,0.075510459,1.434300632,0.102495361,-0.103580176,0.173274587,0.151043049,1.143197857,0.081760711,-0.219325963,0.240479839,0.226586598,1.073739625,0.076816357,-0.32951573,0.080262575,0.088789068,1.561051096,0.1311697,-0.103580176,0.093068619,0.088703077,1.532969312,0.128685436,-0.106570326,0.146200062,0.177453903,1.262362762,0.10607456,-0.234777213,0.203782113,0.26621169,1.204605585,0.1012522,-0.344024947
