,CAGR (%),Volatility (%),Sharpe,Sortino,Maximum Drawdown (%)
HFEA,11.42363189,30.70880493,0.344727671,0.030323242,-81.8305705
VOO,10.65537739,17.04950613,0.387828006,0.031448652,-55.16027367
SSO,11.38457859,34.10239059,0.343039428,0.027899775,-88.61486282
UPRO,9.602017833,51.15585221,0.344455482,0.028028543,-98.27649336
60/40_SSO_ZROZ,11.9196125,23.07982516,0.388293454,0.033589887,-65.01342122
50/25/25_SSO_ZROZ_GLD,12.0192498,19.0274621,0.430623562,0.037211988,-47.41406405
VOO_LRS,11.09594806,11.46478191,0.541551863,0.040043754,-22.36076189
SSO_LRS,14.57131219,22.92967438,0.491795622,0.036357173,-51.36518298
UPRO_LRS,17.31892225,34.39580691,0.49336839,0.036471231,-70.75145645
70/15/15_SSO_LRS_ZROZ_GLD,13.64823854,17.15315931,0.542195405,0.044332379,-30.99588264
70/15/15_SSO_LRS_ZROZ_GLD2,15.13352985,19.51290518,0.565355397,0.050583041,-41.2324144
