Ticker,Company,Annual_Return_%,Volatility_%
MMM,3M Company,5.828538692272267,23.511142331434492
AOS,A. O. Smith Corporation,10.556319903845,32.60866920456898
ABT,Abbott Laboratories,12.853287700061289,25.406932828884223
ABBV,AbbVie Inc.,14.396024034215294,26.469811839079792
ACN,Accenture plc,14.356074470992164,29.673970244262044
ADBE,Adobe Inc.,22.07561515781087,48.36867295812656
AMD,"Advanced Micro Devices, Inc.",8.51864774903579,59.08304533009927
AES,The AES Corporation,4.112943834747607,48.027035128906505
AFL,Aflac Incorporated,16.27905727001968,35.98188747084629
A,"Agilent Technologies, Inc.",5.950548380343834,41.27181887841785
APD,"Air Products and Chemicals, Inc.",10.031740976575021,28.089563380382987
ABNB,"Airbnb, Inc.",-2.276424494853746,48.99758510608601
AKAM,"Akamai Technologies, Inc.",-1.6479383150647564,62.95019146526665
ALB,Albemarle Corporation,8.352392578909583,38.563639455794856
ARE,"Alexandria Real Estate Equities, Inc.",5.733886662345955,29.869019014632965
ALGN,"Align Technology, Inc.",11.042112746713006,59.98143324172071
ALLE,Allegion plc,9.352542248716578,25.843887639277778
LNT,Alliant Energy Corporation,4.873395491607857,20.657083768962544
ALL,The Allstate Corporation,8.491132728980034,30.13892383029047
GOOGL,Alphabet Inc.,23.70980791578996,30.589715085411562
GOOG,Alphabet Inc.,23.78452107568354,30.601666682871624
MO,"Altria Group, Inc.",9.386170790672743,27.789930911034748
AMZN,"Amazon.com, Inc.",32.252707884254605,55.951522230885274
AMCR,Amcor plc,1.5409068364747425,24.62673653351417
AEE,Ameren Corporation,2.7746647324152773,21.651791870388536
AEP,"American Electric Power Company, Inc.",2.021570698947639,21.368905733720332
AXP,American Express Company,8.70409792126592,34.75402429973911
AIG,"American International Group, Inc.",2.0936871461842976,42.64677172101459
AMT,American Tower Corporation,9.144669268745087,45.52802998458631
AWK,"American Water Works Company, Inc.",11.36943979984082,23.195181228707362
AMP,"Ameriprise Financial, Inc.",14.80090824785667,40.357929708591314
AME,"AMETEK, Inc.",12.075616854496607,28.547647628359336
AMGN,Amgen Inc.,17.293578488327842,37.80953390834063
APH,Amphenol Corporation,20.481207737107688,35.47603817398425
ADI,"Analog Devices, Inc.",13.512650904086021,43.45160436296369
ANSS,"ANSYS, Inc.",18.05297738702334,41.30539477340599
AON,Aon plc,11.600650831956871,27.559572429028222
APA,APA Corporation,4.115753649103127,43.50308209070006
APO,"Apollo Global Management, Inc.",17.46068091400632,35.81892490060245
AAPL,Apple Inc.,18.786000663505,44.11198323505655
AMAT,"Applied Materials, Inc.",18.087767411328404,47.99887341599454
APTV,Aptiv PLC,9.682561864551609,36.70111375757822
ACGL,Arch Capital Group Ltd.,13.31323827658968,29.17747089744755
ADM,Archer-Daniels-Midland Company,7.64387024138411,30.988352418528347
ANET,Arista Networks Inc,38.98310376833154,43.563152699875005
AJG,Arthur J. Gallagher & Co.,13.238654892557555,25.177313157426685
AIZ,"Assurant, Inc.",10.840009792747551,31.75849652306469
T,AT&T Inc.,4.381624382821747,24.88744280854693
ATO,Atmos Energy Corporation,8.153393558316036,23.050804012981754
ADSK,"Autodesk, Inc.",17.551795381921288,45.56671389113854
ADP,"Automatic Data Processing, Inc.",14.032051663375334,26.090192360246817
AZO,"AutoZone, Inc.",19.715230289834572,29.928668478038155
AVB,"AvalonBay Communities, Inc.",7.941243565164435,28.156729021178624
AVY,Avery Dennison Corporation,7.172952845993774,30.74019739190104
AXON,"Axon Enterprise, Inc.",35.68224852598259,60.32685769154389
BKR,Baker Hughes Company,2.109083538925227,41.526762865764276
BALL,Ball Corporation,10.72432132535508,29.511542341882336
BAC,Bank of America Corporation,4.435884268789847,37.69643057634495
BAX,Baxter International Inc.,4.754025766676895,28.027516538511165
BDX,"Becton, Dickinson and Company",9.288450751739896,25.749485984658914
BRK-B,Berkshire Hathaway Inc.,10.925072992152106,22.352349191110434
BBY,"Best Buy Co., Inc.",17.032607197741022,50.30656717458577
TECH,Bio-Techne Corporation,19.834760439606857,40.12043845151206
BIIB,Biogen Inc.,12.337376519596187,56.698315296983495
BLK,"BlackRock, Inc.",18.505284579436008,33.815249135597995
BX,Blackstone Inc.,9.501596857406414,44.97520097730766
BK,The Bank of New York Mellon Corporation,7.937708860202375,32.04031624969903
BA,The Boeing Company,9.906132187756,34.30448918584308
BKNG,Booking Holdings Inc.,9.368885040264852,60.90104602581709
BSX,Boston Scientific Corporation,9.775495671310797,38.001463419014506
BMY,Bristol-Myers Squibb Company,6.684848285459655,26.354290201306995
AVGO,Broadcom Inc.,38.1850889846133,36.720657988272585
BR,"Broadridge Financial Solutions, Inc.",14.567845614310638,26.345520180411334
BRO,"Brown & Brown, Inc.",15.575416478286442,30.641990942317644
BF-B,Brown-Forman Corporation,10.432264477741837,24.836486469800505
BLDR,"Builders FirstSource, Inc.",11.900953529767854,67.62869225938698
BG,Bunge Global SA,6.935146888967059,33.57355516994298
BXP,"BXP, Inc.",3.7732454890248235,32.11246848760188
